V,I (365 nm),I (405 nm),I (436 nm),I (486 nm),I (546 nm),I (577 nm),I (589 nm),I (656 nm)
-4,-1.72473E-10,-2.0507E-10,-2.67001E-10,-2.3011E-11,-1.70888E-10,-8.47638E-11,-4.40982E-11,-6.40559E-12
-3.99,-1.68088E-10,-2.05075E-10,-2.59635E-10,-2.00853E-11,-1.68107E-10,-8.17794E-11,-4.18822E-11,-4.53649E-12
-3.98,-1.66945E-10,-2.07513E-10,-2.55003E-10,-1.8988E-11,-1.66299E-10,-7.97699E-11,-3.80091E-11,-3.28735E-12
-3.97,-1.66267E-10,-2.03432E-10,-2.56642E-10,-1.8487E-11,-1.64638E-10,-7.82634E-11,-3.72508E-11,-2.27706E-12
-3.96,-1.64382E-10,-1.98493E-10,-2.51684E-10,-1.77456E-11,-1.63591E-10,-7.83735E-11,-3.61502E-11,-2.65285E-12
-3.95,-1.62842E-10,-1.9957E-10,-2.49972E-10,-1.75254E-11,-1.63041E-10,-7.88179E-11,-3.56434E-11,-2.35914E-12
-3.94,-1.62875E-10,-1.98078E-10,-2.49134E-10,-1.71343E-11,-1.64328E-10,-7.84206E-11,-3.594E-11,-1.70294E-12
-3.93,-1.60886E-10,-2.00027E-10,-2.48735E-10,-1.66453E-11,-1.59646E-10,-7.58554E-11,-2.88738E-11,-1.70786E-12
-3.92,-1.60716E-10,-1.94868E-10,-2.47502E-10,-1.62779E-11,-1.61843E-10,-7.57758E-11,-4.13232E-11,-1.75984E-12
-3.91,-1.60226E-10,-1.96743E-10,-2.45925E-10,-1.6159E-11,-1.63688E-10,-7.61714E-11,-3.57996E-11,-1.76332E-12
-3.9,-1.59317E-10,-1.99174E-10,-2.45218E-10,-1.59316E-11,-1.60535E-10,-7.68303E-11,-3.56858E-11,-5.71902E-13
-3.89,-1.58427E-10,-1.96892E-10,-2.45059E-10,-1.56653E-11,-1.60115E-10,-7.58464E-11,-3.43356E-11,-8.91607E-13
-3.88,-1.58428E-10,-1.97154E-10,-2.44906E-10,-1.54692E-11,-1.58613E-10,-7.60152E-11,-3.61423E-11,-1.46347E-12
-3.87,-1.58218E-10,-1.96445E-10,-2.44352E-10,-1.59531E-11,-1.67902E-10,-7.54588E-11,-3.1125E-11,-1.44792E-12
-3.86,-1.58296E-10,-1.93492E-10,-2.44501E-10,-1.50705E-11,-1.65927E-10,-7.57275E-11,-3.12359E-11,-1.42479E-12
-3.85,-1.61021E-10,-1.94887E-10,-2.44451E-10,-1.50324E-11,-1.60288E-10,-7.61368E-11,-3.26652E-11,-7.95204E-13
-3.84,-1.57355E-10,-1.96782E-10,-2.43858E-10,-1.49872E-11,-1.54949E-10,-7.56176E-11,-3.38814E-11,-1.95019E-12
-3.83,-1.57423E-10,-1.92688E-10,-2.42438E-10,-1.48341E-11,-1.44509E-10,-7.58181E-11,-3.26775E-11,-1.29502E-12
-3.82,-1.57102E-10,-1.95693E-10,-2.42066E-10,-1.44069E-11,-1.58555E-10,-7.52168E-11,-3.45319E-11,-1.14049E-12
-3.81,-1.57341E-10,-1.97334E-10,-2.41945E-10,-1.44252E-11,-1.60825E-10,-7.52643E-11,-3.49076E-11,-1.57031E-12
-3.8,-1.57343E-10,-1.94394E-10,-2.42099E-10,-1.43416E-11,-1.59746E-10,-7.53445E-11,-3.39903E-11,-1.50809E-12
-3.79,-1.56297E-10,-1.95102E-10,-2.43176E-10,-1.42262E-11,-1.58882E-10,-7.52811E-11,-3.2235E-11,-1.7097E-12
-3.78,-1.57493E-10,-1.93643E-10,-2.42899E-10,-1.41542E-11,-1.54102E-10,-7.54078E-11,-3.01655E-11,-1.39941E-12
-3.77,-1.5437E-10,-1.91451E-10,-2.42637E-10,-1.40956E-11,-1.59716E-10,-7.55281E-11,-3.18025E-11,-2.2525E-12
-3.76,-1.58888E-10,-1.93081E-10,-2.41265E-10,-1.39896E-11,-1.52687E-10,-7.53761E-11,-3.02113E-11,-1.33637E-12
-3.75,-1.57351E-10,-1.92348E-10,-2.41663E-10,-1.39876E-11,-1.58483E-10,-7.52338E-11,-3.09263E-11,-1.46859E-12
-3.74,-1.5685E-10,-1.94995E-10,-2.41544E-10,-1.48261E-11,-1.58194E-10,-7.49569E-11,-3.25801E-11,-1.62148E-12
-3.73,-1.5856E-10,-1.94147E-10,-2.41301E-10,-1.40764E-11,-1.54431E-10,-7.43215E-11,-3.22847E-11,-9.64267E-13
-3.72,-1.57355E-10,-1.93307E-10,-2.41376E-10,-1.37638E-11,-1.5637E-10,-7.43827E-11,-3.10982E-11,-1.35499E-12
-3.71,-1.56206E-10,-1.96193E-10,-2.41587E-10,-1.37512E-11,-1.62628E-10,-7.42804E-11,-3.13612E-11,-2.71753E-12
-3.7,-1.55007E-10,-1.92071E-10,-2.41179E-10,-1.32417E-11,-1.55656E-10,-7.42727E-11,-3.30961E-11,-1.43461E-12
-3.69,-1.55361E-10,-1.93304E-10,-2.39911E-10,-1.36429E-11,-1.56804E-10,-7.41132E-11,-3.29904E-11,-1.30976E-12
-3.68,-1.55509E-10,-1.93901E-10,-2.38823E-10,-1.3428E-11,-1.55593E-10,-7.38332E-11,-3.3113E-11,-9.55056E-13
-3.67,-1.56954E-10,-1.92234E-10,-2.39527E-10,-1.34396E-11,-1.54956E-10,-7.38696E-11,-3.36163E-11,-1.28929E-12
-3.66,-1.5549E-10,-1.93757E-10,-2.40501E-10,-1.34329E-11,-1.54012E-10,-7.36512E-11,-3.33347E-11,-1.24283E-12
-3.65,-1.56233E-10,-1.9531E-10,-2.41291E-10,-1.32656E-11,-1.55234E-10,-7.35907E-11,-3.16979E-11,-1.40637E-12
-3.64,-1.56021E-10,-1.9265E-10,-2.40788E-10,-1.7182E-11,-1.56374E-10,-7.37292E-11,-3.10501E-11,-1.40432E-12
-3.63,-1.56314E-10,-1.93709E-10,-2.40403E-10,-1.2906E-11,-1.60112E-10,-7.38051E-11,-3.18682E-11,-1.53736E-12
-3.62,-1.5639E-10,-1.92628E-10,-2.40771E-10,-1.30405E-11,-1.56996E-10,-7.36815E-11,-3.18279E-11,-6.69532E-13
-3.61,-1.57565E-10,-1.91337E-10,-2.41148E-10,-1.3142E-11,-1.56366E-10,-7.35804E-11,-3.25684E-11,-9.60583E-13
-3.6,-1.57135E-10,-1.90264E-10,-2.40542E-10,-1.32544E-11,-1.54636E-10,-7.35106E-11,-3.16967E-11,-1.44464E-12
-3.59,-1.53403E-10,-1.902E-10,-2.40589E-10,-1.32927E-11,-1.47145E-10,-7.34681E-11,-3.11199E-11,-1.25859E-12
-3.58,-1.57439E-10,-1.93599E-10,-2.39434E-10,-1.31332E-11,-1.60078E-10,-7.35002E-11,-3.05429E-11,-4.28149E-14
-3.57,-1.57382E-10,-1.94329E-10,-2.39156E-10,-1.24735E-11,-1.55277E-10,-7.30869E-11,-3.01018E-11,-1.34906E-12
-3.56,-1.5564E-10,-1.9288E-10,-2.38932E-10,-1.57648E-11,-1.80561E-10,-7.30777E-11,-3.27962E-11,-1.17058E-12
-3.55,-1.55859E-10,-1.90494E-10,-2.38468E-10,-1.10566E-11,-1.70561E-10,-7.29152E-11,-3.1562E-11,-1.25429E-12
-3.54,-1.5386E-10,-1.91144E-10,-2.3837E-10,-1.3386E-11,-1.54534E-10,-7.28775E-11,-3.27041E-11,-9.23536E-13
-3.53,-1.5659E-10,-1.94628E-10,-2.38212E-10,-1.27836E-11,-1.5507E-10,-7.31379E-11,-3.14642E-11,-1.34271E-12
-3.52,-1.55153E-10,-1.95128E-10,-2.37948E-10,-1.23528E-11,-1.47949E-10,-7.31813E-11,-3.19742E-11,-1.67163E-12
-3.51,-1.55395E-10,-1.9161E-10,-2.3815E-10,-1.29449E-11,-1.5609E-10,-7.29664E-11,-3.12222E-11,-1.68657E-12
-3.5,-1.56482E-10,-1.91585E-10,-2.3904E-10,-1.30378E-11,-1.52702E-10,-7.25654E-11,-2.95676E-11,-1.35643E-12
-3.49,-1.56471E-10,-1.92041E-10,-2.38954E-10,-1.30906E-11,-1.5752E-10,-7.26367E-11,-2.96161E-11,-8.78098E-13
-3.48,-1.5529E-10,-1.91231E-10,-2.3881E-10,-1.31037E-11,-1.51538E-10,-7.26634E-11,-2.98237E-11,-9.88828E-13
-3.47,-1.54879E-10,-1.9028E-10,-2.38927E-10,-1.3055E-11,-1.62378E-10,-7.33379E-11,-3.19851E-11,-1.33391E-12
-3.46,-1.54948E-10,-1.91307E-10,-2.38758E-10,-1.31832E-11,-1.53546E-10,-7.35129E-11,-2.37065E-11,-1.33473E-12
-3.45,-1.54779E-10,-1.90448E-10,-2.38401E-10,-1.30239E-11,-1.52897E-10,-7.33704E-11,-3.22812E-11,-1.37464E-12
-3.44,-1.55389E-10,-1.92269E-10,-2.37972E-10,-1.30421E-11,-1.35756E-10,-7.33058E-11,-2.76711E-11,-9.72044E-13
-3.43,-1.54948E-10,-1.86487E-10,-2.38186E-10,-1.29922E-11,-1.53919E-10,-7.30677E-11,-2.81093E-11,-1.24345E-12
-3.42,-1.55E-10,-1.91657E-10,-2.39462E-10,-1.31561E-11,-1.64269E-10,-7.32161E-11,-3.0722E-11,-1.41742E-12
-3.41,-1.54905E-10,-1.93304E-10,-2.39188E-10,-1.31277E-11,-1.57775E-10,-7.31924E-11,-3.43423E-11,-1.40023E-12
-3.4,-1.54974E-10,-1.93217E-10,-2.39048E-10,-1.37452E-11,-1.57575E-10,-7.32006E-11,-3.43468E-11,-1.06599E-12
-3.39,-1.54997E-10,-1.90611E-10,-2.38598E-10,-1.28807E-11,-1.55725E-10,-7.32689E-11,-3.13236E-11,-1.17774E-12
-3.38,-1.55736E-10,-1.88805E-10,-2.38038E-10,-1.24494E-11,-1.57124E-10,-7.30702E-11,-2.87401E-11,-1.27005E-12
-3.37,-1.56539E-10,-1.90458E-10,-2.37626E-10,-1.27867E-11,-1.55434E-10,-7.28722E-11,-2.84141E-11,-1.34292E-12
-3.36,-1.56412E-10,-1.89849E-10,-2.37394E-10,-1.30333E-11,-1.55556E-10,-7.28526E-11,-2.74531E-11,-1.38222E-12
-3.35,-1.549E-10,-1.91914E-10,-2.37884E-10,-1.29202E-11,-1.54767E-10,-7.27808E-11,-3.11377E-11,-1.0793E-12
-3.34,-1.5416E-10,-1.89162E-10,-2.38076E-10,-1.2791E-11,-1.54018E-10,-7.21051E-11,-3.48311E-11,-1.36421E-12
-3.33,-1.54203E-10,-1.90121E-10,-2.38064E-10,-1.28285E-11,-1.5412E-10,-7.24359E-11,-3.17734E-11,-1.43625E-12
-3.32,-1.557E-10,-1.89398E-10,-2.37018E-10,-1.29621E-11,-1.54177E-10,-7.25331E-11,-2.78502E-11,-1.2283E-12
-3.31,-1.55793E-10,-1.91003E-10,-2.36196E-10,-1.29378E-11,-1.53016E-10,-7.21825E-11,-3.01471E-11,-1.05883E-12
-3.3,-1.55118E-10,-1.89121E-10,-2.35875E-10,-1.29449E-11,-1.53994E-10,-7.22848E-11,-2.7195E-11,-1.13947E-12
-3.29,-1.54193E-10,-1.89038E-10,-2.35684E-10,-1.28561E-11,-1.53074E-10,-7.21837E-11,-3.15718E-11,-1.4342E-12
-3.28,-1.54598E-10,-1.8786E-10,-2.36175E-10,-1.29148E-11,-1.54342E-10,-7.22394E-11,-4.34854E-11,-1.28807E-12
-3.27,-1.51449E-10,-1.9008E-10,-2.36984E-10,-1.26756E-11,-1.55652E-10,-7.23059E-11,-2.91644E-11,-1.13968E-12
-3.26,-1.54566E-10,-1.8749E-10,-2.36878E-10,-1.27065E-11,-1.55295E-10,-7.20341E-11,-3.41845E-11,-1.11737E-12
-3.25,-1.54753E-10,-1.87896E-10,-2.36739E-10,-1.29783E-11,-1.5153E-10,-7.17987E-11,-3.21705E-11,-9.77366E-13
-3.24,-1.53634E-10,-1.88571E-10,-2.35859E-10,-1.29201E-11,-1.54292E-10,-7.17213E-11,-3.31609E-11,-1.20067E-12
-3.23,-1.52494E-10,-1.89702E-10,-2.35789E-10,-1.27067E-11,-1.5654E-10,-7.18525E-11,-3.25336E-11,-1.17447E-12
-3.22,-1.51723E-10,-1.88025E-10,-2.35598E-10,-1.28452E-11,-1.55038E-10,-7.22128E-11,-3.08516E-11,-1.32266E-12
-3.21,-1.55673E-10,-1.89455E-10,-2.35439E-10,-1.25851E-11,-1.5432E-10,-7.21491E-11,-2.93838E-11,-1.00459E-12
-3.2,-1.54732E-10,-1.87606E-10,-2.35493E-10,-1.26616E-11,-1.57302E-10,-7.24572E-11,-3.04707E-11,-9.42162E-13
-3.19,-1.52324E-10,-1.89499E-10,-2.35646E-10,-1.26445E-11,-1.48513E-10,-7.24042E-11,-3.15286E-11,-1.18982E-12
-3.18,-1.54246E-10,-1.89187E-10,-2.34661E-10,-1.26754E-11,-1.54674E-10,-7.24572E-11,-3.22227E-11,-1.17488E-12
-3.17,-1.53859E-10,-1.90474E-10,-2.34529E-10,-1.26426E-11,-1.50296E-10,-7.25573E-11,-3.13803E-11,-1.1845E-12
-3.16,-1.53277E-10,-1.90207E-10,-2.34262E-10,-1.2651E-11,-1.60212E-10,-7.23996E-11,-3.08868E-11,-1.13497E-12
-3.15,-1.56353E-10,-1.86459E-10,-2.35195E-10,-1.27282E-11,-1.58679E-10,-7.24672E-11,-3.06772E-11,-8.26519E-13
-3.14,-1.53417E-10,-1.90743E-10,-2.35808E-10,-1.27769E-11,-1.54997E-10,-7.26152E-11,-3.04866E-11,-1.01052E-12
-3.13,-1.53292E-10,-1.88115E-10,-2.35586E-10,-1.27304E-11,-1.53545E-10,-7.26322E-11,-3.07498E-11,-1.16526E-12
-3.12,-1.54815E-10,-1.87682E-10,-2.346E-10,-1.26492E-11,-1.50806E-10,-7.27586E-11,-3.06506E-11,-1.2545E-12
-3.11,-1.52633E-10,-1.87367E-10,-2.34911E-10,-1.2677E-11,-1.54765E-10,-7.26215E-11,-3.06747E-11,-1.06333E-12
-3.1,-1.53502E-10,-1.86878E-10,-2.35701E-10,-1.26217E-11,-1.54223E-10,-7.22146E-11,-3.07916E-11,-9.63243E-13
-3.09,-1.53497E-10,-1.88746E-10,-2.35331E-10,-1.25927E-11,-1.53749E-10,-7.21784E-11,-3.06993E-11,-1.04471E-12
-3.08,-1.54213E-10,-1.88753E-10,-2.35409E-10,-1.25609E-11,-1.53306E-10,-7.20836E-11,-3.10135E-11,-1.13046E-12
-3.07,-1.53628E-10,-1.87424E-10,-2.34761E-10,-1.26823E-11,-1.53189E-10,-7.23579E-11,-3.09236E-11,-1.08441E-12
-3.06,-1.53651E-10,-1.88257E-10,-2.34206E-10,-1.26416E-11,-1.52951E-10,-7.2128E-11,-3.05446E-11,-1.02731E-12
-3.05,-1.54028E-10,-1.88735E-10,-2.34656E-10,-1.24826E-11,-1.52972E-10,-7.21489E-11,-3.07386E-11,-9.54237E-13
-3.04,-1.52589E-10,-1.88757E-10,-2.34975E-10,-1.24506E-11,-1.52518E-10,-7.17979E-11,-3.06217E-11,-9.95173E-13
-3.03,-1.53701E-10,-1.88572E-10,-2.3574E-10,-1.23974E-11,-1.52846E-10,-7.17351E-11,-3.07934E-11,-1.10795E-12
-3.02,-1.53309E-10,-1.88338E-10,-2.34988E-10,-1.24404E-11,-1.52397E-10,-7.1637E-11,-3.12036E-11,-1.0314E-12
-3.01,-1.52018E-10,-1.87781E-10,-2.34223E-10,-1.26011E-11,-1.52239E-10,-7.12371E-11,-3.06915E-11,-9.29062E-13
-3,-1.54762E-10,-1.8739E-10,-2.34909E-10,-1.25661E-11,-1.51917E-10,-7.10393E-11,-3.0808E-11,-1.08318E-12
-2.99,-1.5252E-10,-1.87335E-10,-2.34648E-10,-1.26627E-11,-1.52418E-10,-7.11775E-11,-3.0659E-11,-8.92425E-13
-2.98,-1.52821E-10,-1.88494E-10,-2.34299E-10,-1.25519E-11,-1.52211E-10,-7.12377E-11,-3.06236E-11,-1.0662E-12
-2.97,-1.52296E-10,-1.8787E-10,-2.34222E-10,-1.25577E-11,-1.52865E-10,-7.15038E-11,-3.05783E-11,-1.01707E-12
-2.96,-1.51507E-10,-1.89049E-10,-2.34374E-10,-1.25382E-11,-1.52855E-10,-7.14197E-11,-3.04832E-11,-1.01196E-12
-2.95,-1.51522E-10,-1.88768E-10,-2.33394E-10,-1.25605E-11,-1.52897E-10,-7.10236E-11,-3.06774E-11,-9.17191E-13
-2.94,-1.51134E-10,-1.87167E-10,-2.33528E-10,-1.25137E-11,-1.52672E-10,-7.09896E-11,-3.05231E-11,-1.06845E-12
-2.93,-1.50977E-10,-1.8751E-10,-2.32924E-10,-1.2432E-11,-1.52413E-10,-7.11972E-11,-3.07159E-11,-1.00643E-12
-2.92,-1.51006E-10,-1.86449E-10,-2.33411E-10,-1.23872E-11,-1.53025E-10,-7.16986E-11,-3.05497E-11,-1.10693E-12
-2.91,-1.51376E-10,-1.87641E-10,-2.3453E-10,-1.24631E-11,-1.53019E-10,-7.13797E-11,-3.02099E-11,-9.55056E-13
-2.9,-1.51242E-10,-1.87669E-10,-2.34986E-10,-1.25249E-11,-1.51935E-10,-7.14229E-11,-3.69215E-11,-9.00612E-13
-2.89,-1.50467E-10,-1.87007E-10,-2.34302E-10,-1.25045E-11,-1.51879E-10,-7.08408E-11,-2.67654E-11,-9.45846E-13
-2.88,-1.50704E-10,-1.86949E-10,-2.34169E-10,-1.24486E-11,-1.52308E-10,-7.08605E-11,-3.47318E-11,-9.75115E-13
-2.87,-1.50644E-10,-1.8663E-10,-2.34154E-10,-1.24819E-11,-1.52191E-10,-7.12631E-11,-2.82663E-11,-9.38682E-13
-2.86,-1.50586E-10,-1.86256E-10,-2.35109E-10,-1.24891E-11,-1.51972E-10,-7.09423E-11,-3.53379E-11,-6.89386E-13
-2.85,-1.50589E-10,-1.86222E-10,-2.35238E-10,-1.24891E-11,-1.51996E-10,-7.1042E-11,-2.35385E-11,-8.0994E-13
-2.84,-1.51204E-10,-1.86296E-10,-2.35617E-10,-1.24412E-11,-1.5187E-10,-7.11763E-11,-2.47723E-11,-1.08093E-12
-2.83,-1.51938E-10,-1.87389E-10,-2.34293E-10,-1.2415E-11,-1.51279E-10,-7.12099E-11,-2.77262E-11,-9.69998E-13
-2.82,-1.50778E-10,-1.87038E-10,-2.33778E-10,-1.23902E-11,-1.51638E-10,-7.13638E-11,-2.80878E-11,-7.51403E-13
-2.81,-1.50867E-10,-1.87065E-10,-2.33445E-10,-1.22723E-11,-1.51673E-10,-7.11505E-11,-3.26578E-11,-9.48506E-13
-2.8,-1.50585E-10,-1.86612E-10,-2.33533E-10,-1.23814E-11,-1.54582E-10,-7.1084E-11,-3.22542E-11,-9.55056E-13
-2.79,-1.51051E-10,-1.86655E-10,-2.3376E-10,-1.23589E-11,-1.50471E-10,-7.10009E-11,-2.79601E-11,-8.4801E-13
-2.78,-1.51139E-10,-1.86407E-10,-2.34519E-10,-1.22359E-11,-1.51278E-10,-7.10772E-11,-2.75268E-11,-7.51198E-13
-2.77,-1.51058E-10,-1.85932E-10,-2.34492E-10,-1.23661E-11,-1.5092E-10,-7.08965E-11,-3.02513E-11,-7.00439E-13
-2.76,-1.50065E-10,-1.85846E-10,-2.34284E-10,-1.24115E-11,-1.51737E-10,-7.09235E-11,-2.82344E-11,-6.13656E-13
-2.75,-1.4983E-10,-1.86297E-10,-2.33543E-10,-1.23673E-11,-1.51788E-10,-7.07743E-11,-3.05681E-11,-1.03242E-12
-2.74,-1.4988E-10,-1.86834E-10,-2.34135E-10,-1.24332E-11,-1.51694E-10,-7.06044E-11,-3.36606E-11,-7.89473E-13
-2.73,-1.50451E-10,-1.86702E-10,-2.33404E-10,-1.23853E-11,-1.50963E-10,-7.08762E-11,-2.78543E-11,-6.76696E-13
-2.72,-1.50484E-10,-1.86346E-10,-2.33395E-10,-1.22089E-11,-1.50817E-10,-7.10183E-11,-2.72474E-11,-2.75735E-13
-2.71,-1.50187E-10,-1.84645E-10,-2.33197E-10,-1.23178E-11,-1.50702E-10,-7.09284E-11,-2.00344E-11,-8.05847E-13
-2.7,-1.49444E-10,-1.85825E-10,-2.32761E-10,-1.23798E-11,-1.51144E-10,-7.08711E-11,-2.90242E-11,-8.0728E-13
-2.69,-1.49558E-10,-1.85509E-10,-2.3264E-10,-1.2432E-11,-1.50981E-10,-7.0846E-11,-2.9357E-11,-6.82631E-13
-2.68,-1.49675E-10,-1.85199E-10,-2.31903E-10,-1.21289E-11,-1.50762E-10,-7.09898E-11,-2.76054E-11,-6.87135E-13
-2.67,-1.49388E-10,-1.8634E-10,-2.3178E-10,-1.21897E-11,-1.49887E-10,-7.1068E-11,-2.99459E-11,-9.56489E-13
-2.66,-1.49415E-10,-1.85411E-10,-2.32358E-10,-1.23204E-11,-1.49726E-10,-7.07815E-11,-2.94489E-11,-1.14868E-12
-2.65,-1.50038E-10,-1.87923E-10,-2.33819E-10,-1.25566E-11,-1.49662E-10,-7.0867E-11,-3.2596E-11,-6.51521E-13
-2.64,-1.50026E-10,-1.86674E-10,-2.32943E-10,-1.23376E-11,-1.49933E-10,-7.07352E-11,-3.02191E-11,-4.16143E-13
-2.63,-1.50181E-10,-1.85182E-10,-2.33032E-10,-1.20413E-11,-1.49658E-10,-7.07876E-11,-3.00435E-11,-9.09209E-13
-2.62,-1.48795E-10,-1.86059E-10,-2.32741E-10,-1.20973E-11,-1.49953E-10,-7.10676E-11,-2.73428E-11,-6.70556E-13
-2.61,-1.48157E-10,-1.85655E-10,-2.32851E-10,-1.21837E-11,-1.50129E-10,-7.12442E-11,-3.0011E-11,-6.72193E-13
-2.6,-1.47857E-10,-1.86263E-10,-2.32446E-10,-1.24021E-11,-1.50109E-10,-7.09436E-11,-3.01911E-11,-7.42192E-13
-2.59,-1.47791E-10,-1.85831E-10,-2.32125E-10,-1.22277E-11,-1.50213E-10,-7.05086E-11,-3.27854E-11,-5.0354E-13
-2.58,-1.48073E-10,-1.8468E-10,-2.32813E-10,-1.20996E-11,-1.50159E-10,-7.04849E-11,-3.07719E-11,-5.45089E-13
-2.57,-1.47893E-10,-1.85138E-10,-2.32942E-10,-1.19821E-11,-1.49762E-10,-7.05113E-11,-3.00357E-11,-6.49474E-13
-2.56,-1.47878E-10,-1.85104E-10,-2.33167E-10,-1.18141E-11,-1.49046E-10,-7.08017E-11,-3.54838E-11,-6.64006E-13
-2.55,-1.4682E-10,-1.84131E-10,-2.33242E-10,-1.22877E-11,-1.49207E-10,-7.05756E-11,-4.23513E-11,-7.7883E-13
-2.54,-1.46844E-10,-1.85017E-10,-2.316E-10,-1.20928E-11,-1.49476E-10,-6.98827E-11,-3.28545E-11,-6.88772E-13
-2.53,-1.46977E-10,-1.85595E-10,-2.31014E-10,-1.20185E-11,-1.49893E-10,-6.99599E-11,-3.35953E-11,-6.53363E-13
-2.52,-1.46825E-10,-1.84553E-10,-2.31059E-10,-1.19084E-11,-1.4989E-10,-6.99517E-11,-3.32733E-11,-9.43799E-13
-2.51,-1.46526E-10,-1.85908E-10,-2.3252E-10,-1.19142E-11,-1.49769E-10,-6.98512E-11,-3.00314E-11,-6.18772E-13
-2.5,-1.46579E-10,-1.84923E-10,-2.32505E-10,-1.21917E-11,-1.49541E-10,-6.957E-11,-2.96127E-11,-4.60148E-13
-2.49,-1.47001E-10,-1.83762E-10,-2.32944E-10,-1.20636E-11,-1.49235E-10,-6.95078E-11,-2.99317E-11,-4.12459E-13
-2.48,-1.45916E-10,-1.8423E-10,-2.32098E-10,-1.20583E-11,-1.49701E-10,-6.94678E-11,-2.85236E-11,1.89795E-14
-2.47,-1.45357E-10,-1.83684E-10,-2.31516E-10,-1.19002E-11,-1.49923E-10,-6.95391E-11,-2.75882E-11,-4.34288E-14
-2.46,-1.4509E-10,-1.83439E-10,-2.31341E-10,-1.18736E-11,-1.49691E-10,-6.99046E-11,-3.26058E-11,-8.20379E-13
-2.45,-1.45007E-10,-1.85014E-10,-2.31813E-10,-1.22044E-11,-1.49535E-10,-6.98092E-11,-3.26673E-11,-4.91668E-13
-2.44,-1.44824E-10,-1.84907E-10,-2.32072E-10,-1.20032E-11,-1.48994E-10,-6.98389E-11,-3.34078E-11,-5.89299E-13
-2.43,-1.40202E-10,-1.85383E-10,-2.31267E-10,-1.18278E-11,-1.49112E-10,-6.96138E-11,-3.31458E-11,-8.13215E-13
-2.42,-1.41332E-10,-1.84633E-10,-2.30466E-10,-1.17594E-11,-1.48766E-10,-6.96651E-11,-3.03759E-11,7.42263E-14
-2.41,-1.43027E-10,-1.84321E-10,-2.29625E-10,-1.1795E-11,-1.48465E-10,-6.96795E-11,-2.65693E-11,-6.53568E-13
-2.4,-1.42819E-10,-1.8475E-10,-2.29599E-10,-1.21123E-11,-1.48473E-10,-6.96336E-11,-3.04848E-11,-1.1495E-12
-2.39,-1.45927E-10,-1.84488E-10,-2.30019E-10,-1.20296E-11,-1.49223E-10,-6.96692E-11,-3.26159E-11,-1.42827E-12
-2.38,-1.40988E-10,-1.84884E-10,-2.30579E-10,-1.19426E-11,-1.49093E-10,-6.97628E-11,-3.15438E-11,-9.1146E-13
-2.37,-1.42094E-10,-1.83353E-10,-2.30464E-10,-1.18302E-11,-1.48564E-10,-6.94975E-11,-2.97293E-11,6.52474E-13
-2.36,-1.42136E-10,-1.83432E-10,-2.29898E-10,-1.1949E-11,-1.47672E-10,-6.94676E-11,-2.96288E-11,-5.0313E-13
-2.35,-1.3755E-10,-1.83214E-10,-2.30068E-10,-1.20928E-11,-1.48219E-10,-6.94138E-11,-2.96902E-11,-7.08012E-13
