V,I (365 nm),I (405 nm),I (436 nm),I (486 nm),I (546 nm),I (577 nm),I (589 nm),I (656 nm)
-2.34,-1.39992E-10,-1.83012E-10,-2.30589E-10,-1.21528E-11,-1.48469E-10,-6.92347E-11,-2.67629E-11,-9.9374E-13
-2.33,-1.38801E-10,-1.82847E-10,-2.29821E-10,-1.18802E-11,-1.48837E-10,-6.93659E-11,-2.98914E-11,-1.43748E-12
-2.32,-1.39545E-10,-1.83168E-10,-2.28835E-10,-1.16145E-11,-1.48758E-10,-6.95356E-11,-3.16015E-11,-1.31365E-12
-2.31,-1.38656E-10,-1.83938E-10,-2.28972E-10,-1.183E-11,-1.48518E-10,-6.95036E-11,-3.29249E-11,-3.51874E-13
-2.3,-1.39332E-10,-1.84393E-10,-2.29215E-10,-1.1942E-11,-1.47741E-10,-6.92912E-11,-2.9793E-11,-9.9067E-13
-2.29,-1.37172E-10,-1.83877E-10,-2.30566E-10,-1.19203E-11,-1.47586E-10,-6.84829E-11,-2.73565E-11,-4.48277E-13
-2.28,-1.38764E-10,-1.81382E-10,-2.30986E-10,-1.18051E-11,-1.47903E-10,-6.93143E-11,-2.58345E-11,-5.52867E-13
-2.27,-1.38491E-10,-1.88262E-10,-2.30366E-10,-1.16505E-11,-1.47331E-10,-6.9281E-11,-2.57825E-11,-5.52048E-13
-2.26,-1.3429E-10,-1.83061E-10,-2.30031E-10,-1.17752E-11,-1.47042E-10,-6.92671E-11,-2.92526E-11,-4.83686E-13
-2.25,-1.36373E-10,-1.80507E-10,-2.30264E-10,-1.18032E-11,-1.47393E-10,-6.82721E-11,-3.20739E-11,-4.82048E-13
-2.24,-1.35263E-10,-1.78529E-10,-2.30622E-10,-1.19837E-11,-1.47237E-10,-6.95399E-11,-4.12944E-11,-4.83277E-13
-2.23,-1.34812E-10,-1.82442E-10,-2.30557E-10,-1.19457E-11,-1.4744E-10,-6.9334E-11,-2.96945E-11,-5.57984E-13
-2.22,-1.34565E-10,-1.81775E-10,-2.30144E-10,-1.17406E-11,-1.47413E-10,-7.05111E-11,-2.92352E-11,-5.07429E-13
-2.21,-1.31628E-10,-1.77978E-10,-2.29094E-10,-1.16853E-11,-1.47271E-10,-6.91107E-11,-2.87958E-11,-3.71319E-13
-2.2,-1.3353E-10,-1.77664E-10,-2.28874E-10,-1.17615E-11,-1.4676E-10,-7.05786E-11,-2.71889E-11,-4.40704E-13
-2.19,-1.30627E-10,-1.8592E-10,-2.28254E-10,-1.18822E-11,-1.46964E-10,-6.26611E-11,-2.90402E-11,4.143E-13
-2.18,-1.3078E-10,-1.75151E-10,-2.28129E-10,-1.16726E-11,-1.47126E-10,-6.86061E-11,-2.92219E-11,-1.70331E-14
-2.17,-1.29512E-10,-1.8636E-10,-2.28482E-10,-1.16354E-11,-1.47151E-10,-6.9414E-11,-3.01753E-11,-8.20993E-13
-2.16,-1.30785E-10,-1.86753E-10,-2.29687E-10,-1.15871E-11,-1.46854E-10,-7.07841E-11,-2.8164E-11,-3.10232E-12
-2.15,-1.25884E-10,-1.74194E-10,-2.2989E-10,-1.16204E-11,-1.46809E-10,-7.22089E-11,-2.81957E-11,5.72674E-13
-2.14,-1.29218E-10,-1.79267E-10,-2.28901E-10,-1.17101E-11,-1.47086E-10,-6.64603E-11,-2.91292E-11,1.06253E-12
-2.13,-1.25632E-10,-1.8101E-10,-2.28684E-10,-1.17662E-11,-1.46513E-10,-7.64033E-11,-2.91237E-11,-9.69179E-13
-2.12,-1.26455E-10,-1.79492E-10,-2.28197E-10,-1.15867E-11,-1.46217E-10,-6.76519E-11,-2.94008E-11,-1.62455E-12
-2.11,-1.22187E-10,-1.80652E-10,-2.28395E-10,-1.17181E-11,-1.4605E-10,-6.86397E-11,-2.93478E-11,-3.81348E-13
-2.1,-1.24672E-10,-1.80067E-10,-2.28377E-10,-1.17586E-11,-1.46258E-10,-7.12958E-11,-2.95852E-11,-1.14193E-12
-2.09,-1.23406E-10,-1.80304E-10,-2.27456E-10,-1.18493E-11,-1.47136E-10,-6.79976E-11,-2.95879E-11,-7.42602E-13
-2.08,-1.19456E-10,-1.80017E-10,-2.26792E-10,-1.16206E-11,-1.46801E-10,-6.83294E-11,-2.9251E-11,-1.14786E-12
-2.07,-1.19264E-10,-1.79619E-10,-2.25191E-10,-1.16043E-11,-1.46798E-10,-6.79868E-11,-2.91976E-11,-8.94063E-13
-2.06,-1.18165E-10,-1.79347E-10,-2.26152E-10,-1.16039E-11,-1.45748E-10,-6.81074E-11,-2.94082E-11,-5.47136E-13
-2.05,-1.17501E-10,-1.79123E-10,-2.26596E-10,-1.16315E-11,-1.46565E-10,-6.80306E-11,-2.94917E-11,-1.11696E-12
-2.04,-1.15495E-10,-1.78704E-10,-2.27577E-10,-1.17244E-11,-1.46692E-10,-6.80969E-11,-2.94749E-11,-3.30331E-12
-2.03,-1.15808E-10,-1.79097E-10,-2.27284E-10,-1.15924E-11,-1.4678E-10,-6.79684E-11,-2.92432E-11,-1.08011E-12
-2.02,-1.12733E-10,-1.79106E-10,-2.26622E-10,-1.15357E-11,-1.46453E-10,-6.77095E-11,-2.93261E-11,-5.01195E-12
-2.01,-1.09134E-10,-1.78822E-10,-2.27013E-10,-1.13666E-11,-1.46415E-10,-6.85057E-11,-2.94622E-11,-2.16674E-12
-2,-1.09568E-10,-1.77267E-10,-2.2711E-10,-1.16374E-11,-1.46039E-10,-6.91717E-11,-2.95643E-11,-1.76885E-12
-1.99,-1.09628E-10,-1.76912E-10,-2.26274E-10,-1.1734E-11,-1.45362E-10,-6.79389E-11,-2.89915E-11,-1.73979E-12
-1.98,-1.07768E-10,-1.76826E-10,-2.25746E-10,-1.15668E-11,-1.45664E-10,-6.67135E-11,-2.90531E-11,-3.15083E-12
-1.97,-1.06003E-10,-1.76674E-10,-2.25858E-10,-1.13791E-11,-1.45515E-10,-6.71456E-11,-2.90271E-11,-1.12403E-13
-1.96,-1.03954E-10,-1.76349E-10,-2.26775E-10,-1.13924E-11,-1.45773E-10,-6.75563E-11,-2.91143E-11,-7.35234E-13
-1.95,-1.01909E-10,-1.75216E-10,-2.26284E-10,-1.1486E-11,-1.46188E-10,-6.78505E-11,-2.93642E-11,-2.74711E-13
-1.94,-1.00337E-10,-1.74569E-10,-2.2682E-10,-1.17228E-11,-1.46093E-10,-6.81499E-11,-2.93304E-11,-4.04476E-13
-1.93,-9.8846E-11,-1.74177E-10,-2.26527E-10,-1.15416E-11,-1.45696E-10,-6.73955E-11,-2.92692E-11,-4.61376E-13
-1.92,-9.71161E-11,-1.73813E-10,-2.25401E-10,-1.14145E-11,-1.45755E-10,-6.74229E-11,-2.92668E-11,-5.92164E-13
-1.91,-9.52664E-11,-1.73602E-10,-2.25147E-10,-1.12944E-11,-1.45598E-10,-6.75142E-11,-2.90439E-11,6.47155E-13
-1.9,-9.28459E-11,-1.73473E-10,-2.25122E-10,-1.13286E-11,-1.45629E-10,-6.74663E-11,-2.9191E-11,-1.19177E-14
-1.89,-9.03618E-11,-1.73742E-10,-2.25788E-10,-1.16473E-11,-1.45916E-10,-6.7516E-11,-2.90142E-11,1.07988E-13
-1.88,-8.88459E-11,-1.72798E-10,-2.2551E-10,-1.14567E-11,-1.45207E-10,-6.72786E-11,-2.89857E-11,-1.12064E-12
-1.87,-8.61505E-11,-1.72134E-10,-2.24961E-10,-1.13331E-11,-1.44692E-10,-6.761E-11,-2.89041E-11,7.11569E-14
-1.86,-8.39601E-11,-1.72088E-10,-2.23966E-10,-1.14119E-11,-1.44799E-10,-6.77166E-11,-2.90285E-11,-7.09649E-13
-1.85,-8.1924E-11,-1.7153E-10,-2.24414E-10,-1.1419E-11,-1.44621E-10,-6.75394E-11,-2.91243E-11,4.94101E-13
-1.84,-7.96391E-11,-1.70123E-10,-2.24199E-10,-1.14444E-11,-1.44245E-10,-6.74223E-11,-2.88953E-11,-7.47719E-13
-1.83,-7.7057E-11,-1.68897E-10,-2.23691E-10,-1.14348E-11,-1.4404E-10,-6.73443E-11,-2.8743E-11,-3.56991E-13
-1.82,-7.45339E-11,-1.68274E-10,-2.23337E-10,-1.12621E-11,-1.4419E-10,-6.73951E-11,-2.87291E-11,-5.75995E-13
-1.81,-7.18144E-11,-1.67941E-10,-2.23035E-10,-1.11656E-11,-1.44218E-10,-6.73774E-11,-2.87111E-11,-1.86905E-13
-1.8,-6.91452E-11,-1.67196E-10,-2.21837E-10,-1.11663E-11,-1.44883E-10,-6.71499E-11,-2.89364E-11,-5.01288E-13
-1.79,-6.67812E-11,-1.66262E-10,-2.21757E-10,-1.13945E-11,-1.44807E-10,-6.69927E-11,-2.88175E-11,-8.77075E-13
-1.78,-6.42659E-11,-1.64438E-10,-2.21383E-10,-1.14197E-11,-1.44719E-10,-6.68017E-11,-2.87459E-11,-1.18134E-13
-1.77,-6.07434E-11,-1.63579E-10,-2.20917E-10,-1.13689E-11,-1.44411E-10,-6.70383E-11,-2.85717E-11,-1.10765E-13
-1.76,-5.76573E-11,-1.62768E-10,-2.20687E-10,-1.12649E-11,-1.44195E-10,-6.73019E-11,-2.86609E-11,-8.17011E-14
-1.75,-5.45429E-11,-1.61932E-10,-2.21626E-10,-1.1314E-11,-1.4449E-10,-6.73222E-11,-2.89397E-11,-1.47023E-12
-1.74,-5.14179E-11,-1.61133E-10,-2.21411E-10,-1.13298E-11,-1.44376E-10,-6.69896E-11,-2.88361E-11,-6.41696E-13
-1.73,-4.83072E-11,-1.60526E-10,-2.20194E-10,-1.12678E-11,-1.44023E-10,-6.68734E-11,-2.87147E-11,-2.06145E-13
-1.72,-4.45559E-11,-1.59374E-10,-2.19853E-10,-1.11513E-11,-1.442E-10,-6.7096E-11,-2.85111E-11,-2.25179E-13
-1.71,-4.07193E-11,-1.57728E-10,-2.20348E-10,-1.12457E-11,-1.44194E-10,-6.72407E-11,-2.85043E-11,-4.68745E-13
-1.7,-3.66188E-11,-1.5653E-10,-2.20423E-10,-1.11861E-11,-1.44082E-10,-6.72182E-11,-2.84597E-11,-4.96785E-13
-1.69,-3.31411E-11,-1.55091E-10,-2.20104E-10,-1.11964E-11,-1.43524E-10,-6.68674E-11,-2.82205E-11,-1.60911E-13
-1.68,-2.95181E-11,-1.53948E-10,-2.19065E-10,-1.11681E-11,-1.43146E-10,-6.66118E-11,-2.83238E-11,-1.64686E-12
-1.67,-2.52692E-11,-1.52553E-10,-2.17677E-10,-1.10359E-11,-1.43261E-10,-6.67409E-11,-2.84931E-11,1.78217E-12
-1.66,-2.09872E-11,-1.50749E-10,-2.17098E-10,-1.12033E-11,-1.43316E-10,-6.67677E-11,-2.83977E-11,-1.35418E-12
-1.65,-1.64925E-11,-1.49183E-10,-2.17529E-10,-1.10799E-11,-1.44058E-10,-6.72227E-11,-2.85438E-11,-2.9477E-13
-1.64,-1.20193E-11,-1.47779E-10,-2.17126E-10,-1.10134E-11,-1.43587E-10,-6.68516E-11,-2.85444E-11,-5.714E-14
-1.63,-7.50513E-12,-1.45906E-10,-2.16055E-10,-1.12404E-11,-1.43258E-10,-6.67622E-11,-2.84452E-11,-3.27887E-14
-1.62,-2.21382E-12,-1.44731E-10,-2.14221E-10,-1.11272E-11,-1.4318E-10,-6.63618E-11,-2.83205E-11,-7.8149E-13
-1.61,2.7496E-12,-1.43446E-10,-2.13502E-10,-1.0935E-11,-1.43172E-10,-6.62873E-11,-2.81599E-11,-5.63212E-14
-1.6,8.07354E-12,-1.41664E-10,-2.12954E-10,-1.10404E-11,-1.4287E-10,-6.64409E-11,-2.84321E-11,1.00417E-13
-1.59,1.32029E-11,-1.3972E-10,-2.12109E-10,-1.09456E-11,-1.42747E-10,-6.64537E-11,-2.85074E-11,-3.75617E-13
-1.58,1.84129E-11,-1.38061E-10,-2.11415E-10,-1.10426E-11,-1.43042E-10,-6.64476E-11,-2.85039E-11,-8.01958E-13
-1.57,2.44119E-11,-1.35754E-10,-2.11885E-10,-1.09061E-11,-1.42776E-10,-6.5302E-11,-2.83754E-11,-1.55517E-12
-1.56,3.05428E-11,-1.32677E-10,-2.11202E-10,-1.10361E-11,-1.42632E-10,-6.517E-11,-2.81558E-11,-5.47136E-13
-1.55,3.68653E-11,-1.31019E-10,-2.10387E-10,-1.10635E-11,-1.42452E-10,-6.53051E-11,-2.79832E-11,-3.31816E-13
-1.54,4.31317E-11,-1.29111E-10,-2.08961E-10,-1.09947E-11,-1.4239E-10,-6.53841E-11,-2.8088E-11,-3.07255E-13
-1.53,4.98607E-11,-1.27322E-10,-2.06913E-10,-1.09743E-11,-1.4192E-10,-6.54214E-11,-2.82522E-11,6.78831E-14
-1.52,5.73618E-11,-1.24753E-10,-2.06222E-10,-1.08844E-11,-1.41421E-10,-6.52804E-11,-2.82469E-11,-3.136E-13
-1.51,6.45864E-11,-1.22298E-10,-2.0545E-10,-1.10025E-11,-1.41623E-10,-6.55041E-11,-2.83907E-11,-5.71492E-13
-1.5,7.17225E-11,-1.19178E-10,-2.04343E-10,-1.0867E-11,-1.42235E-10,-6.51252E-11,-2.82428E-11,-5.31376E-13
-1.49,7.95952E-11,-1.16018E-10,-2.03122E-10,-1.07403E-11,-1.42197E-10,-6.52728E-11,-2.78854E-11,-1.40443E-13
-1.48,8.77776E-11,-1.13329E-10,-2.01682E-10,-1.09397E-11,-1.42076E-10,-6.51352E-11,-2.79906E-11,-4.56795E-14
-1.47,9.66827E-11,-1.10457E-10,-1.99605E-10,-1.0902E-11,-1.41496E-10,-6.50466E-11,-2.79994E-11,-5.10139E-12
-1.46,1.06187E-10,-1.07126E-10,-1.9828E-10,-1.08764E-11,-1.41741E-10,-6.49105E-11,-2.80872E-11,2.59286E-12
-1.45,1.16846E-10,-1.0374E-10,-1.96141E-10,-1.07649E-11,-1.41798E-10,-6.4651E-11,-2.80166E-11,4.82565E-12
-1.44,1.26403E-10,-9.97426E-11,-1.94734E-10,-1.06421E-11,-1.41534E-10,-6.48206E-11,-2.7963E-11,2.33034E-12
-1.43,1.36054E-10,-9.58584E-11,-1.93089E-10,-1.0734E-11,-1.41458E-10,-6.46645E-11,-2.76269E-11,-3.30588E-13
-1.42,1.47621E-10,-9.19083E-11,-1.92661E-10,-1.06032E-11,-1.41297E-10,-6.45732E-11,-2.77042E-11,-7.59999E-13
-1.41,1.59619E-10,-8.79963E-11,-1.9111E-10,-1.07248E-11,-1.41078E-10,-6.467E-11,-2.79632E-11,-1.30301E-12
-1.4,1.7198E-10,-8.43612E-11,-1.88094E-10,-1.0594E-11,-1.40821E-10,-6.4996E-11,-2.77002E-11,-1.10529E-12
-1.39,1.85217E-10,-8.01554E-11,-1.86466E-10,-1.04382E-11,-1.40472E-10,-6.49535E-11,-2.75931E-11,-1.80221E-12
-1.38,1.9874E-10,-7.55812E-11,-1.84478E-10,-1.04871E-11,-1.40131E-10,-6.47091E-11,-2.76326E-11,-1.07193E-12
-1.37,2.13465E-10,-7.09404E-11,-1.82263E-10,-1.13998E-11,-1.40189E-10,-6.4601E-11,-2.76312E-11,-1.10283E-12
-1.36,2.28584E-10,-6.59276E-11,-1.80794E-10,-9.88456E-12,-1.40869E-10,-6.43863E-11,-2.77898E-11,6.54276E-14
-1.35,2.43177E-10,-6.0874E-11,-1.78331E-10,-1.03932E-11,-1.40841E-10,-6.44228E-11,-2.78064E-11,2.85596E-13
-1.34,2.60446E-10,-5.55503E-11,-1.75218E-10,-1.03412E-11,-1.40427E-10,-6.45048E-11,-2.76957E-11,-4.34359E-13
-1.33,2.77449E-10,-4.99102E-11,-1.7241E-10,-1.03881E-11,-1.40027E-10,-6.44614E-11,-2.74584E-11,-2.22928E-13
-1.32,2.95786E-10,-4.41892E-11,-1.68965E-10,-1.04849E-11,-1.40086E-10,-6.40488E-11,-2.76971E-11,-5.89708E-13
-1.31,3.15163E-10,-3.79412E-11,-1.6628E-10,-1.03836E-11,-1.40013E-10,-6.41033E-11,-2.75753E-11,-3.40003E-13
-1.3,3.38034E-10,-3.18614E-11,-1.62763E-10,-1.02342E-11,-1.40269E-10,-6.4092E-11,-2.75426E-11,-4.20236E-13
-1.29,3.55247E-10,-2.52018E-11,-1.60287E-10,-1.01238E-11,-1.39437E-10,-6.40111E-11,-2.75219E-11,-4.17166E-13
-1.28,3.75514E-10,-1.83327E-11,-1.56934E-10,-1.0185E-11,-1.38883E-10,-6.42177E-11,-2.71944E-11,-2.61612E-13
-1.27,3.97946E-10,-1.1259E-11,-1.53709E-10,-1.00706E-11,-1.38605E-10,-6.40635E-11,-2.75618E-11,-3.85441E-13
-1.26,4.21003E-10,-3.87092E-12,-1.49652E-10,-9.97954E-12,-1.387E-10,-6.37195E-11,-2.77043E-11,-3.08688E-13
-1.25,4.45455E-10,3.82041E-12,-1.44851E-10,-1.00252E-11,-1.38962E-10,-6.38142E-11,-2.7975E-11,-3.11962E-13
-1.24,4.71519E-10,1.18708E-11,-1.40888E-10,-1.01206E-11,-1.39258E-10,-6.38128E-11,-2.73086E-11,-3.71728E-13
-1.23,4.96133E-10,2.02139E-11,-1.36632E-10,-9.92898E-12,-1.38681E-10,-6.39264E-11,-2.71056E-11,-4.04476E-13
-1.22,5.18846E-10,2.93838E-11,-1.32595E-10,-9.74231E-12,-1.38227E-10,-6.37602E-11,-2.70831E-11,-4.56464E-13
-1.21,5.45555E-10,3.82714E-11,-1.27841E-10,-1.00545E-11,-1.38044E-10,-6.34577E-11,-2.72734E-11,-3.29974E-13
-1.2,5.73617E-10,4.7831E-11,-1.22513E-10,-9.70526E-12,-1.37967E-10,-6.34309E-11,-2.75812E-11,-2.30501E-13
-1.19,6.05147E-10,5.78822E-11,-1.16446E-10,-9.69933E-12,-1.3815E-10,-6.33725E-11,-2.74867E-11,-2.16378E-13
-1.18,6.3609E-10,6.80348E-11,-1.11208E-10,-9.59126E-12,-1.37833E-10,-6.3391E-11,-2.74425E-11,-3.38775E-13
-1.17,6.64551E-10,7.94057E-11,-1.05639E-10,-9.76073E-12,-1.36833E-10,-6.35508E-11,-2.68352E-11,-3.34067E-13
-1.16,6.97986E-10,9.12837E-11,-9.94653E-11,-9.60108E-12,-1.36397E-10,-6.35576E-11,-2.73145E-11,-3.78482E-13
-1.15,7.31364E-10,1.03585E-10,-9.29398E-11,-9.36918E-12,-1.36308E-10,-6.34313E-11,-2.72656E-11,-3.56173E-13
-1.14,7.64167E-10,1.15582E-10,-8.64011E-11,-9.36222E-12,-1.36263E-10,-6.3226E-11,-2.7406E-11,-2.96612E-13
-1.13,7.99442E-10,1.28963E-10,-7.937E-11,-9.25702E-12,-1.35932E-10,-6.31343E-11,-2.71674E-11,-3.09711E-13
-1.12,8.35041E-10,1.43033E-10,-7.21653E-11,-9.1162E-12,-1.36082E-10,-6.30078E-11,-2.68909E-11,-2.80442E-13
-1.11,8.69109E-10,1.57602E-10,-6.38463E-11,-9.08202E-12,-1.36006E-10,-6.21631E-11,-2.71289E-11,-3.12372E-13
-1.1,9.08923E-10,1.73291E-10,-5.54559E-11,-8.8362E-12,-1.35558E-10,-6.23971E-11,-2.70493E-11,-2.82898E-13
-1.09,9.48776E-10,1.89492E-10,-4.64738E-11,-8.76313E-12,-1.35625E-10,-6.2282E-11,-2.74695E-11,-2.50764E-13
-1.08,9.90264E-10,2.06914E-10,-3.7533E-11,-8.76804E-12,-1.35414E-10,-6.18872E-11,-2.70145E-11,-2.76963E-13
-1.07,1.03672E-09,2.24978E-10,-2.78691E-11,-8.63398E-12,-1.34797E-10,-6.17929E-11,-2.70067E-11,-2.00209E-13
-1.06,1.08182E-09,2.45306E-10,-1.77502E-11,-8.4424E-12,-1.34673E-10,-6.18299E-11,-2.63395E-11,-2.89653E-13
-1.05,1.1243E-09,2.65196E-10,-6.81707E-12,-8.33412E-12,-1.34337E-10,-6.19453E-11,-2.68532E-11,-2.29478E-13
-1.04,1.16527E-09,2.86043E-10,4.77229E-12,-8.20804E-12,-1.34264E-10,-6.20991E-11,-2.70182E-11,-2.08805E-13
-1.03,1.20236E-09,3.08752E-10,1.618E-11,-8.03632E-12,-1.34203E-10,-6.19971E-11,-2.72077E-11,-2.04098E-13
-1.02,1.2472E-09,3.31722E-10,2.85008E-11,-7.91412E-12,-1.3401E-10,-6.18815E-11,-2.7E-11,-2.92109E-13
-1.01,1.29439E-09,3.55887E-10,4.17276E-11,-8.49193E-12,-1.33605E-10,-6.1465E-11,-2.64375E-11,-4.24534E-13
-1,1.3432E-09,3.83376E-10,5.55699E-11,-7.13717E-12,-1.32914E-10,-6.12809E-11,-2.6538E-11,-2.63045E-13
-0.99,1.39796E-09,4.11927E-10,7.01904E-11,-7.40939E-12,-1.3249E-10,-6.13473E-11,-2.66448E-11,-1.74215E-13
-0.98,1.45036E-09,4.38944E-10,8.54345E-11,-7.28249E-12,-1.32047E-10,-6.11569E-11,-2.68884E-11,-1.73396E-13
-0.97,1.49971E-09,4.68313E-10,1.01838E-10,-7.04813E-12,-1.31931E-10,-6.09768E-11,-2.66205E-11,-2.62021E-13
-0.96,1.54168E-09,4.9746E-10,1.19589E-10,-6.85491E-12,-1.31446E-10,-6.06248E-11,-2.60992E-11,-3.62108E-13
-0.95,1.59906E-09,5.2847E-10,1.37846E-10,-6.61073E-12,-1.31002E-10,-6.04246E-11,-2.64568E-11,-2.18834E-13
-0.94,1.65523E-09,5.62247E-10,1.57196E-10,-6.36205E-12,-1.30209E-10,-6.04301E-11,-2.65253E-11,-2.7553E-13
-0.93,1.71531E-09,5.99468E-10,1.77692E-10,-6.11603E-12,-1.29414E-10,-6.03562E-11,-2.67799E-11,-1.31438E-13
-0.92,1.78234E-09,6.34168E-10,1.98905E-10,-5.74556E-12,-1.28577E-10,-6.03632E-11,-2.63612E-11,-1.52315E-13
-0.91,1.84285E-09,6.6709E-10,2.21149E-10,-5.31635E-12,-1.27936E-10,-6.01955E-11,-2.58642E-11,-2.83922E-13
-0.9,1.89603E-09,7.04994E-10,2.4562E-10,-5.21933E-12,-1.27334E-10,-6.01921E-11,-2.6098E-11,-2.07373E-13
-0.89,1.93453E-09,7.44852E-10,2.73409E-10,-5.02693E-12,-1.26703E-10,-5.98679E-11,-2.62175E-11,-1.75852E-13
-0.88,1.99673E-09,7.86716E-10,3.00734E-10,-4.64787E-12,-1.2656E-10,-5.9706E-11,-2.62423E-11,-1.46788E-13
-0.87,2.0602E-09,8.33124E-10,3.29142E-10,-4.19512E-12,-1.25338E-10,-5.97215E-11,-2.60388E-11,-2.93132E-13
-0.86,2.12839E-09,8.77239E-10,3.57231E-10,-3.76939E-12,-1.24695E-10,-5.97678E-11,-2.5637E-11,-2.43191E-13
-0.85,2.18506E-09,9.2127E-10,3.88818E-10,-3.42819E-12,-1.23665E-10,-5.91302E-11,-2.57883E-11,-2.59156E-13
-0.84,2.25507E-09,9.64849E-10,4.25385E-10,-3.0305E-12,-1.22856E-10,-5.90269E-11,-2.57752E-11,-1.7708E-13
-0.83,2.3232E-09,1.01404E-09,4.61181E-10,-2.52576E-12,-1.21705E-10,-5.8762E-11,-2.53449E-11,-1.8711E-13
-0.82,2.39015E-09,1.06484E-09,4.98234E-10,-1.94959E-12,-1.20369E-10,-5.84621E-11,-2.53368E-11,-2.18835E-13
-0.81,2.45981E-09,1.11832E-09,5.361E-10,-1.4555E-12,-1.19234E-10,-5.82473E-11,-2.49073E-11,-2.16378E-13
-0.8,2.54329E-09,1.17176E-09,5.77294E-10,-9.65297E-13,-1.17647E-10,-5.82041E-11,-2.49438E-11,-3.7971E-13
-0.79,2.6054E-09,1.22457E-09,6.24611E-10,-4.35795E-13,-1.16182E-10,-5.76936E-11,-2.53922E-11,-7.88357E-14
-0.78,2.66891E-09,1.27964E-09,6.70705E-10,1.86768E-13,-1.14617E-10,-5.26804E-11,-2.53187E-11,-1.45151E-13
-0.77,2.74375E-09,1.33825E-09,7.18413E-10,1.06131E-12,-1.12572E-10,-3.08295E-11,-2.47653E-11,-1.601E-14
-0.76,2.82422E-09,1.39464E-09,7.68698E-10,1.88224E-12,-1.10976E-10,-4.43454E-11,-2.44548E-11,-4.17918E-14
-0.75,2.90688E-09,1.45844E-09,8.20211E-10,2.27511E-12,-1.09601E-10,-2.93884E-11,-2.43103E-11,-3.5781E-13
-0.74,2.98018E-09,1.52839E-09,8.70461E-10,3.25278E-12,-1.07979E-10,-8.57562E-11,-2.4803E-11,-1.87314E-13
-0.73,3.05113E-09,1.59173E-09,9.26067E-10,4.18052E-12,-1.05653E-10,-3.47061E-11,-2.43848E-11,-1.34712E-13
-0.72,3.1157E-09,1.65285E-09,9.83914E-10,5.3092E-12,-1.02887E-10,-4.51864E-11,-2.41715E-11,-1.4597E-13
-0.71,3.19479E-09,1.71818E-09,1.04726E-09,6.19233E-12,-1.00763E-10,-8.0777E-11,-2.38193E-11,-1.53747E-13
-0.7,3.24134E-09,1.79025E-09,1.11899E-09,7.10637E-12,-9.82844E-11,-6.15974E-11,-2.38093E-11,-1.96115E-13
-0.69,3.35753E-09,1.85802E-09,1.18437E-09,8.16056E-12,-9.54018E-11,-5.42155E-11,-2.37155E-11,-1.37592E-14
-0.68,3.45369E-09,1.92359E-09,1.25284E-09,9.60149E-12,-9.21648E-11,-5.31575E-11,-2.38154E-11,-8.68181E-14
-0.67,3.53785E-09,1.99574E-09,1.31425E-09,1.10887E-11,-8.87336E-11,-5.27232E-11,-2.36074E-11,2.83919E-14
-0.66,3.59576E-09,2.07881E-09,1.39349E-09,1.26235E-11,-8.56994E-11,-5.259E-11,-2.32748E-11,-1.36759E-13
-0.65,3.68102E-09,2.14984E-09,1.47276E-09,1.34526E-11,-8.24418E-11,-5.06824E-11,-2.27806E-11,-1.66233E-13
